year,make,model,trim,engine,epid,ebay_engine
2004,Isuzu,Axiom,S Sport Utility 4-Door,3.5L,109950763,3.5L 3494CC V6 GAS DOHC Naturally Aspirated
1992,Isuzu,Pickup,S Extended Cab Pickup 2-Door,2.3L,109952023,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
2002,Isuzu,Trooper,LS Sport Utility 4-Door,3.5L,109952610,3.5L 3475CC V6 GAS DOHC Naturally Aspirated
2001,Isuzu,Rodeo,S V6 Sport Utility 4-Door,3.2L,109953343,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2003,Isuzu,Axiom,XS Sport Utility 4-Door,3.5L,109953420,3.5L 3491CC V6 GAS DOHC Naturally Aspirated
1991,Isuzu,Pickup,S Standard Cab Pickup 2-Door,3.1L,109953850,3.1L 3137CC V6 GAS OHV Naturally Aspirated
2006,Isuzu,Ascender,Base Sport Utility 4-Door,4.2L,109955860,4.2L 256Cu. In. l6 GAS DOHC Naturally Aspirated
2002,Isuzu,Axiom,Base Sport Utility 4-Door,3.5L,109956887,3.5L 3475CC V6 GAS DOHC Naturally Aspirated
1991,Isuzu,Pickup,S Extended Cab Pickup 2-Door,2.6L,109957513,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
2003,Isuzu,Axiom,Base Sport Utility 4-Door,3.5L,109957537,3.5L 3491CC V6 GAS DOHC Naturally Aspirated
2000,Isuzu,Trooper,S Sport Utility 4-Door,3.5L,109957630,3.5L 3475CC V6 GAS DOHC Naturally Aspirated
1999,Isuzu,Hombre,XS Extended Cab Pickup 2-Door,4.3L,109958588,4.3L 4294CC V6 GAS OHV Naturally Aspirated
1988,Isuzu,Pickup,LS Standard Cab Pickup 2-Door,2.6L,109960958,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
2004,Isuzu,Ascender,S Sport Utility 4-Door,4.2L,109962187,4.2L 256Cu. In. l6 GAS DOHC Naturally Aspirated
2003,Isuzu,Rodeo,LSE Sport Utility 4-Door,3.2L,109963077,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1991,Isuzu,Pickup,S Extended Cab Pickup 2-Door,3.1L,109963767,3.1L 3137CC V6 GAS OHV Naturally Aspirated
2000,Isuzu,Trooper,Limited Sport Utility 4-Door,3.5L,109964868,3.5L 3475CC V6 GAS DOHC Naturally Aspirated
1999,Isuzu,Hombre,S Standard Cab Pickup 2-Door,4.3L,109965538,4.3L 4294CC V6 GAS OHV Naturally Aspirated
1998,Isuzu,Hombre,S Standard Cab Pickup 2-Door,4.3L,109966278,4.3L 4294CC V6 GAS OHV Naturally Aspirated
1991,Isuzu,Pickup,S Extended Cab Pickup 2-Door,2.3L,109966297,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
2002,Isuzu,Rodeo,LSE Sport Utility 4-Door,3.2L,109966467,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1992,Isuzu,Pickup,S Extended Cab Pickup 2-Door,2.6L,109968617,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
1990,Isuzu,Pickup,LS Extended Cab Pickup 2-Door,2.3L,109968857,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
2008,Isuzu,Ascender,S Sport Utility 4-Door,4.2L,109968957,4.2L 256Cu. In. l6 GAS DOHC Naturally Aspirated
2001,Isuzu,Rodeo,LSE Sport Utility 4-Door,3.2L,109969438,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2007,Isuzu,i-370,LS Crew Cab Pickup 4-Door,3.7L,109971138,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2001,Isuzu,Rodeo Sport,S V6 Sport Utility 2-Door,3.2L,109971608,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2005,Isuzu,Ascender,S Sport Utility 4-Door,4.2L,109973508,4.2L 256Cu. In. l6 GAS DOHC Naturally Aspirated
