year,make,model,trim,engine,epid,ebay_engine
2026,Bugatti,Tourbillon,Base Coupe 2-Door,8.3L,,8.3L 8300CC 506Cu. In. V16 GAS DOHC Naturally Aspirated
2024,Bugatti,Mistral,Base Convertible 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2023,Bugatti,Chiron,Pur Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2023,Bugatti,Chiron,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2022,Bugatti,Chiron,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2022,Bugatti,Chiron,Pur Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2022,Bugatti,Divo,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2021,Bugatti,Chiron,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2021,Bugatti,Chiron,Pur Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2021,Bugatti,Divo,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2020,Bugatti,Chiron,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2020,Bugatti,Divo,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2018,Bugatti,Chiron,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2015,Bugatti,Veyron 16.4,Grand Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2015,Bugatti,Veyron 16.4,Grand Sport Vitesse Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2015,Bugatti,Veyron 16.4,Super Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2014,Bugatti,Veyron 16.4,Super Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2014,Bugatti,Veyron 16.4,Grand Sport Vitesse Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2014,Bugatti,Veyron 16.4,Grand Sport Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2013,Bugatti,Veyron 16.4,Grand Sport Vitesse Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2012,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2011,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2010,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2009,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2008,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2007,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
2006,Bugatti,Veyron 16.4,Base Coupe 2-Door,8.0L,,8.0L 7993CC 488Cu. In. W16 GAS DOHC Turbocharged
