year,make,model,trim,engine,epid,ebay_engine
1996,GMC,Savana 3500,Base Standard Passenger Van 3-Door,7.4L,73986105,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1997,GMC,Savana 3500,Base Standard Cargo Van 3-Door,5.7L,73986135,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1987,GMC,Jimmy,Base Sport Utility 2-Door,6.2L,73986185,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1998,GMC,C3500,Sierra SL Crew Cab Pickup 4-Door,7.4L,73986206,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1999,GMC,C3500,Sierra SL Crew Cab Pickup 4-Door,5.7L,73986216,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1987,GMC,Jimmy,Sierra Classic Sport Utility 2-Door,5.0L,73986235,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,Jimmy,Sierra Classic Sport Utility 2-Door,5.0L,73986255,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1998,GMC,C3500,Sierra SLE Extended Cab Pickup 2-Door,7.4L,73986256,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1987,GMC,Jimmy,Sierra Classic Sport Utility 2-Door,5.7L,73986265,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1987,GMC,Jimmy,Sierra Classic Sport Utility 2-Door,6.2L,73986275,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,GMC,Jimmy,Sierra Classic Sport Utility 2-Door,6.2L,73986285,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
2000,GMC,C3500,Sierra SLT Extended Cab Pickup 2-Door,7.4L,73986336,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1988,GMC,C3500,Sierra SLX Cab & Chassis 2-Door,5.7L,73986346,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1988,GMC,C3500,Sierra SLX Extended Cab Pickup 2-Door,5.7L,73986356,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1989,GMC,C3500,Sierra Standard Cab Pickup 2-Door,5.7L,73986366,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1990,GMC,C3500,Sierra Extended Cab Pickup 2-Door,5.7L,73986376,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1991,GMC,C3500,Sierra Extended Cab Pickup 2-Door,5.7L,73986386,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1994,GMC,C3500,Sierra SL Extended Cab Pickup 2-Door,5.7L,73986396,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1995,GMC,C3500,Sierra SL Crew Cab Pickup 4-Door,7.4L,73986426,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1996,GMC,C3500,Sierra SL Standard Cab Pickup 2-Door,5.7L,73986456,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1997,GMC,C3500,Sierra SL Crew Cab Pickup 4-Door,5.7L,73986476,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1992,GMC,C3500,Sierra SLE Standard Cab Pickup 2-Door,5.7L,73986486,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1989,GMC,C3500,Sierra SLE Cab & Chassis 2-Door,7.4L,73986506,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1986,GMC,K1500,Base Standard Cab Pickup 2-Door,6.2L,73986525,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1993,GMC,C3500,Sierra SLE Standard Cab Pickup 2-Door,6.2L,73986526,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1993,GMC,C3500,Sierra SLE Extended Cab Pickup 2-Door,7.4L,73986536,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,G3500,Magnavan Cutaway Van 2-Door,5.7L,73986542,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,K1500,Sierra Classic Standard Cab Pickup 2-Door,5.0L,73986545,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1995,GMC,C3500,Sierra SLE Crew Cab Pickup 4-Door,5.7L,73986546,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1996,GMC,C3500,Sierra SLE Crew Cab Pickup 4-Door,7.4L,73986566,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1994,GMC,G1500,Rally Extended Passenger Van 3-Door,5.0L,73986582,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1997,GMC,C3500,Sierra SLE Extended Cab Pickup 2-Door,7.4L,73986586,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,G3500,Vandura Special Cutaway Van 2-Door,5.7L,73986592,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,G2500,Rally Extended Passenger Van 3-Door,6.2L,73986602,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1997,GMC,C3500,Sierra SLT Standard Cab Pickup 2-Door,7.4L,73986606,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1989,GMC,C3500,Sierra SLX Standard Cab Pickup 2-Door,6.2L,73986616,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1986,GMC,K1500,Sierra Classic Standard Cab Pickup 2-Door,5.7L,73986625,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1992,GMC,C3500,Sierra SLX Extended Cab Pickup 2-Door,5.7L,73986626,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1990,GMC,C3500,Sierra SLX Extended Cab Pickup 2-Door,7.4L,73986646,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1993,GMC,C3500,Sierra SLX Extended Cab Pickup 2-Door,6.2L,73986656,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1990,GMC,C3500,Sierra SLE Extended Cab Pickup 2-Door,7.4L,73986662,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1995,GMC,C3500,Sierra SLE Crew Cab Pickup 4-Door,7.4L,73986672,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1994,GMC,C3500,Sierra SLT Extended Cab Pickup 2-Door,5.7L,73986686,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,Safari,Base Standard Cargo Van 3-Door,4.3L,73986712,4.3L 262Cu. In. V6 GAS OHV Naturally Aspirated
1990,GMC,G3500,Vandura Special Cutaway Van 2-Door,7.4L,73986732,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1989,GMC,K1500,Sierra Extended Cab Pickup 2-Door,5.7L,73986735,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1988,GMC,K3500,Sierra SLX Cab & Chassis 2-Door,7.4L,73986742,7.4L 454Cu. In. V8 GAS OHV Naturally Aspirated
1989,GMC,R3500,High Sierra Crew Cab Pickup 4-Door,5.7L,73986762,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1989,GMC,K1500,Sierra Extended Cab Pickup 2-Door,5.0L,73986765,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1991,GMC,K1500,Sierra Standard Cab Pickup 2-Door,5.0L,73986775,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
